case_id,turn_number,speaker,content,is_issue,scenario,model,issue_type
DouBao_case_1,1,客服,您好，欢迎光临我们的电商平台，请问有什么可以帮您的？,False,产品咨询和购买,DouBao,
DouBao_case_1,2,客户,你好，我想咨询一款手机。,False,产品咨询和购买,DouBao,
DouBao_case_1,3,客服,好的，请问您对哪款手机感兴趣呢？,False,产品咨询和购买,DouBao,
DouBao_case_1,4,客户,就是那个最新款的，我记不住名字了。,False,产品咨询和购买,DouBao,
DouBao_case_1,5,客服,没关系，您可以描述一下它的一些特点或者您比较关注的方面，我来为您介绍。,False,产品咨询和购买,DouBao,
DouBao_case_1,6,客户,它的摄像头好像很厉害。,False,产品咨询和购买,DouBao,
DouBao_case_1,7,客服,哦，您说的应该是我们平台上那款[手机型号]，它配备了超高像素的摄像头，拍照效果非常出色，无论是风景还是人像，都能拍摄出清晰、细腻、色彩鲜艳的照片。,False,产品咨询和购买,DouBao,
DouBao_case_1,8,客户,听起来不错，那它的性能怎么样呢？,False,产品咨询和购买,DouBao,
DouBao_case_1,9,客户,运行速度快吗？,False,产品咨询和购买,DouBao,
DouBao_case_1,10,客服,这款手机搭载了最新的处理器，运行速度非常流畅，多任务处理也毫无压力，您可以放心使用。,False,产品咨询和购买,DouBao,
DouBao_case_1,11,客户,那它的电池续航能力呢？,False,产品咨询和购买,DouBao,
DouBao_case_1,12,客服,它配备了大容量的电池，并且支持快速充电技术，充电速度非常快，续航能力也很强，满足您一整天的使用需求是没有问题的。,False,产品咨询和购买,DouBao,
DouBao_case_1,13,客户,好的，那它有哪些颜色可供选择呢？,False,产品咨询和购买,DouBao,
DouBao_case_1,14,客户,有我喜欢的蓝色吗？,False,产品咨询和购买,DouBao,
DouBao_case_1,15,客服,有的，这款手机有黑色、白色、蓝色三种颜色可供选择，您可以根据自己的喜好进行选择。,False,产品咨询和购买,DouBao,
DouBao_case_1,16,客户,好的，那我再考虑一下。,False,产品咨询和购买,DouBao,
DouBao_case_1,17,客服,好的，您有任何问题都可以随时联系我。,False,产品咨询和购买,DouBao,
DouBao_case_1,18,客户,好的，谢谢。,False,产品咨询和购买,DouBao,
DouBao_case_1,19,客服,不客气，请问您还有其他问题吗？,False,产品咨询和购买,DouBao,
DouBao_case_1,20,客户,我之前在你们平台上买了一个东西，怎么还没收到呢？,True,产品咨询和购买,DouBao,订单问题
DouBao_case_1,21,客服,麻烦您提供一下订单号，我帮您查询一下。,False,产品咨询和购买,DouBao,
DouBao_case_1,22,客户,订单号是[订单号]。,False,产品咨询和购买,DouBao,
DouBao_case_1,23,客服,好的，我帮您查一下……您的订单已经发货了，正在运输途中，预计明天就能送达，请您耐心等待一下。,False,产品咨询和购买,DouBao,
DouBao_case_1,24,客户,哦，好的，那我知道了。,False,产品咨询和购买,DouBao,
DouBao_case_1,25,客户,但是我现在急需这个东西怎么办？,True,产品咨询和购买,DouBao,订单问题
DouBao_case_1,26,客服,非常抱歉给您带来了不便，您可以联系一下快递公司，看看是否可以加快运输速度。,False,产品咨询和购买,DouBao,
DouBao_case_1,27,客户,好的，那我试试吧。,False,产品咨询和购买,DouBao,
DouBao_case_1,28,客户,如果明天还没收到怎么办？,True,产品咨询和购买,DouBao,订单问题
DouBao_case_1,29,客服,如果明天还没收到，您可以随时联系我们，我们会帮您跟进处理的。,False,产品咨询和购买,DouBao,
DouBao_case_1,30,客户,好的，那我知道了。,False,产品咨询和购买,DouBao,
DouBao_case_1,31,客户,我收到东西后发现有质量问题怎么办？,True,产品咨询和购买,DouBao,售后问题
DouBao_case_1,32,客服,如果您收到的商品有质量问题，您可以在收到商品后的7天内联系我们，我们会为您提供退换货服务。,False,产品咨询和购买,DouBao,
DouBao_case_1,33,客户,好的，那我知道了。,False,产品咨询和购买,DouBao,
DouBao_case_1,34,客户,如果我对你们的服务不满意怎么办？,True,产品咨询和购买,DouBao,投诉处理
DouBao_case_1,35,客服,如果您对我们的服务不满意，您可以随时向我们投诉，我们会认真对待每一个投诉，并尽快给您一个满意的答复。,False,产品咨询和购买,DouBao,
DouBao_case_1,36,客户,好的，那我知道了。,False,产品咨询和购买,DouBao,
DouBao_case_1,37,客户,谢谢，那我先去联系快递公司了。,False,产品咨询和购买,DouBao,
DouBao_case_1,38,客服,好的，您有任何问题都可以随时联系我，祝您生活愉快！,False,产品咨询和购买,DouBao,
DouBao_case_3,1,客户,你好，我想咨询一下退换货的问题。,True,退换货处理,DouBao,售后
DouBao_case_3,2,客服,您好，很高兴为您服务。请问您遇到了什么退换货问题呢？,False,退换货处理,DouBao,
DouBao_case_3,3,客户,我买的衣服尺码不合适，想换一个大一点的。,True,退换货处理,DouBao,售后
DouBao_case_3,4,客服,好的，麻烦您提供一下订单号，我帮您查询一下。,False,退换货处理,DouBao,
DouBao_case_3,5,客户,订单号是123456789。,False,退换货处理,DouBao,
DouBao_case_3,6,客服,好的，我已经查询到您的订单了。您购买的这款衣服目前还有您需要的尺码，您可以在订单详情中提交换货申请哦。,False,退换货处理,DouBao,
DouBao_case_3,7,客户,我不会操作呀，你们能不能帮我换一下？,True,退换货处理,DouBao,售后
DouBao_case_3,8,客服,当然可以，那麻烦您告诉我一下您需要更换的尺码和收货地址呢。,False,退换货处理,DouBao,
DouBao_case_3,9,客户,我要换L码的，收货地址还是原来的地址。,False,退换货处理,DouBao,
DouBao_case_3,10,客服,好的，我已经帮您提交了换货申请，您耐心等待一下哦。一般情况下，我们会在3个工作日内为您处理换货事宜。,False,退换货处理,DouBao,
DouBao_case_3,11,客户,那我寄回衣服的运费谁出啊？,True,退换货处理,DouBao,售后
DouBao_case_3,12,客服,如果是因为尺码不合适导致的换货，寄回的运费是由您先垫付的哦。等我们收到您寄回的衣服，确认无误后，会将运费以红包的形式返还到您的账户上呢。,False,退换货处理,DouBao,
DouBao_case_3,13,客户,那你们收到衣服后多久能把运费返还给我啊？,True,退换货处理,DouBao,售后
DouBao_case_3,14,客服,一般在确认收到衣服后的1-2个工作日内就会返还哦，请您放心。,False,退换货处理,DouBao,
DouBao_case_3,15,客户,好的，那我知道了。我还有一个问题，我买的这件衣服已经洗过了，但是发现有质量问题，还能退换吗？,True,退换货处理,DouBao,售后
DouBao_case_3,16,客服,如果是衣服本身存在质量问题，即使洗过了也是可以退换的哦。麻烦您提供一下衣服质量问题的照片，我帮您反馈给相关部门进行核实呢。,False,退换货处理,DouBao,
DouBao_case_3,17,客户,我已经拍好照片了，怎么发给你们啊？,False,退换货处理,DouBao,
DouBao_case_3,18,客服,您可以在订单详情中找到“上传图片”的按钮，点击后选择您拍好的照片上传就可以啦。,False,退换货处理,DouBao,
DouBao_case_3,19,客户,我上传好了，你们什么时候能处理啊？,False,退换货处理,DouBao,
DouBao_case_3,20,客服,好的，我已经收到您上传的照片了。我们会尽快安排工作人员对您的问题进行核实，一般会在24小时内给您回复哦。,False,退换货处理,DouBao,
DouBao_case_3,21,客户,那如果核实确实是质量问题，你们会怎么处理啊？,True,退换货处理,DouBao,售后
DouBao_case_3,22,客户,如果核实是质量问题，您可以选择换货或者退货哦。如果您选择换货，我们会为您免费更换一件新的衣服；如果您选择退货，我们会在收到您寄回的衣服后，将货款退还给您呢。,False,退换货处理,DouBao,
DouBao_case_3,23,客户,那我想退货，寄回的运费谁出啊？,True,退换货处理,DouBao,售后
DouBao_case_3,24,客服,因为是衣服本身的质量问题导致的退货，所以寄回的运费是由我们承担的哦。您可以选择普通快递寄回，寄回后麻烦您将快递单号告知我一下，以便我及时为您跟进处理进度呢。,False,退换货处理,DouBao,
DouBao_case_3,25,客户,好的，那我知道了。我还有一个问题，我买的这件衣服是参加了满减活动的，如果退货的话，满减的金额会怎么处理啊？,True,退换货处理,DouBao,售后
DouBao_case_3,26,客服,如果您的订单是参加了满减活动的，退货时会按照您实际支付的金额进行退款哦。比如您的订单原价是100元，参加满减活动后实际支付了80元，如果您选择退货，我们会退还给您80元呢。,False,退换货处理,DouBao,售后
DouBao_case_3,27,客户,好的，那我就放心了。我现在就去寄回衣服。,False,退换货处理,DouBao,
DouBao_case_3,28,客服,好的，麻烦您寄回后及时将快递单号告知我哦。如果您在寄回过程中遇到任何问题，都可以随时联系我呢。,False,退换货处理,DouBao,
DouBao_case_3,29,客户,好的，谢谢。,False,退换货处理,DouBao,
DouBao_case_3,30,客服,不客气，这是我应该做的。请问您还有其他问题吗？,False,退换货处理,DouBao,
DouBao_case_3,31,客户,没有了，谢谢。,False,退换货处理,DouBao,
DouBao_case_3,32,客服,好的，如果您后续还有其他问题，欢迎随时联系我们。祝您生活愉快！,False,退换货处理,DouBao,
DouBao_case_1,1,客服,您好，欢迎光临我们的电商平台，请问有什么我可以帮助您的？,False,产品咨询和购买,DouBao,
DouBao_case_1,2,客户,我想咨询一款手机，你们这里有最新款的苹果手机吗？,False,产品咨询和购买,DouBao,咨询
DouBao_case_1,3,客服,有的，我们这里有最新款的苹果手机，请问您对手机的配置和颜色有什么要求吗？,False,产品咨询和购买,DouBao,
DouBao_case_1,4,客户,我想要一个内存大一点的，颜色嘛，黑色或者白色都可以。,False,产品咨询和购买,DouBao,
DouBao_case_1,5,客服,好的，我们有黑色和白色的苹果手机，内存有128G、256G和512G可供选择，您想要哪一种呢？,False,产品咨询和购买,DouBao,
DouBao_case_1,6,客户,256G的吧，价格是多少呢？,False,产品咨询和购买,DouBao,
DouBao_case_1,7,客服,256G的苹果手机价格是8999元，现在我们平台还有优惠活动，下单可以享受9折优惠哦。,False,产品咨询和购买,DouBao,
DouBao_case_1,8,客户,哦，那还挺划算的。但是我还有一个问题，这款手机有现货吗？我想尽快拿到手。,False,产品咨询和购买,DouBao,咨询
DouBao_case_1,9,客服,请稍等一下，我帮您查询一下库存情况。（查询后）您好，这款手机还有现货，您可以直接下单购买。,False,产品咨询和购买,DouBao,
DouBao_case_1,10,客户,好的，那我就下单了。对了，你们是用什么快递发货呢？,False,产品咨询和购买,DouBao,
DouBao_case_1,11,客服,我们默认使用顺丰快递发货，一般情况下，您下单后的24小时内就会发货。,False,产品咨询和购买,DouBao,
DouBao_case_1,12,客户,哦，那还挺快的。我还有一个朋友也想买这款手机，他可以享受同样的优惠吗？,False,产品咨询和购买,DouBao,
DouBao_case_1,13,客户,他要是在我后面下单的话，还能有这个优惠吗？,False,产品咨询和购买,DouBao,咨询
DouBao_case_1,14,客服,只要在活动期间下单，都可以享受这个优惠哦。,False,产品咨询和购买,DouBao,
DouBao_case_1,15,客户,好的，那我告诉他。,False,产品咨询和购买,DouBao,
DouBao_case_1,16,客服,非常感谢您的支持呢。,False,产品咨询和购买,DouBao,
DouBao_case_1,17,客户,我刚下单，怎么订单状态一直显示待付款啊？,True,产品咨询和购买,DouBao,订单问题
DouBao_case_1,18,客服,亲，您别着急哦。可能是系统有延迟呢，您可以稍微刷新一下页面看看。,False,产品咨询和购买,DouBao,
DouBao_case_1,19,客户,我刷新了，还是待付款状态。,True,产品咨询和购买,DouBao,订单问题
DouBao_case_1,20,客服,那麻烦您给我提供一下订单号呢，我帮您具体查看一下。,False,产品咨询和购买,DouBao,
DouBao_case_1,21,客户,好的，订单号是123456789。,False,产品咨询和购买,DouBao,
DouBao_case_1,22,客服,亲，我这边查看了一下，您的订单确实还没有付款成功呢。您是使用什么方式付款的呀？,False,产品咨询和购买,DouBao,
DouBao_case_1,23,客户,我用的微信支付。,False,产品咨询和购买,DouBao,
DouBao_case_1,24,客户,但是我微信里的钱已经扣了啊。,True,产品咨询和购买,DouBao,订单问题
DouBao_case_1,25,客户,这是怎么回事啊？,True,产品咨询和购买,DouBao,订单问题
DouBao_case_1,26,客服,给您带来不便真的很抱歉呢。这种情况可能是支付平台和我们系统之间的数据交互出现了问题。您先别担心，我会帮您联系支付平台核实情况的。,False,产品咨询和购买,DouBao,
DouBao_case_1,27,客户,好的，那你快点帮我解决啊。,True,产品咨询和购买,DouBao,订单问题
DouBao_case_1,28,客服,亲，您放心，我会尽快帮您处理的。您可以先稍等一下哦。,False,产品咨询和购买,DouBao,
DouBao_case_1,29,客户,我等了一会儿了，还没好啊。,True,产品咨询和购买,DouBao,订单问题
DouBao_case_1,30,客服,实在抱歉让您久等了呢。我这边刚刚收到支付平台的反馈，您的这笔支付已经成功了，只是我们系统还没有及时更新订单状态。我现在帮您手动更新一下哦。,False,产品咨询和购买,DouBao,
DouBao_case_1,31,客户,好的，那我再看看。,False,产品咨询和购买,DouBao,
DouBao_case_1,32,客户,嗯，现在订单状态显示已付款了。,False,产品咨询和购买,DouBao,
DouBao_case_1,33,客服,那就好呢。您的订单我们会尽快为您安排发货的哦。,False,产品咨询和购买,DouBao,
DouBao_case_1,34,客户,好的，谢谢啊。,False,产品咨询和购买,DouBao,
DouBao_case_1,35,客服,亲，不用客气的哦。如果您后续还有其他问题，随时都可以联系我们呢。,False,产品咨询和购买,DouBao,
DouBao_case_2,1,客服,您好，欢迎您使用我们的电商平台，请问有什么我可以帮助您的吗？,False,订单状态查询,DouBao,
DouBao_case_2,2,客户,我想查询一下我的订单状态。,False,订单状态查询,DouBao,
DouBao_case_2,3,客服,好的，请您提供一下您的订单号，我帮您查询一下。,False,订单状态查询,DouBao,
DouBao_case_2,4,客户,我的订单号是123456789。,False,订单状态查询,DouBao,
DouBao_case_2,5,客服,好的，我帮您查询到您的订单目前状态是已发货，正在运输中。,False,订单状态查询,DouBao,
DouBao_case_2,6,客户,那大概什么时候能到呢？,False,订单状态查询,DouBao,
DouBao_case_2,7,客服,一般情况下，发货后3-5个工作日可以送达，您可以通过快递单号在快递公司的官方网站上查询物流信息。,False,订单状态查询,DouBao,
DouBao_case_2,8,客户,好的，谢谢。,False,订单状态查询,DouBao,
DouBao_case_2,9,客服,不客气，请问您还有其他问题吗？,False,订单状态查询,DouBao,
DouBao_case_2,10,客户,我之前买的一个产品有质量问题，怎么办？,True,订单状态查询,DouBao,售后
DouBao_case_2,11,客服,非常抱歉给您带来了不好的购物体验，请您提供一下产品的相关信息和问题描述，我会帮您处理。,False,订单状态查询,DouBao,
DouBao_case_2,12,客户,我买的是一件衣服，领口的扣子掉了。,True,订单状态查询,DouBao,售后
DouBao_case_2,13,客服,好的，这种情况您可以在订单详情页面中申请售后服务，选择质量问题，然后上传相关的照片，我们会在收到申请后尽快为您处理。,False,订单状态查询,DouBao,
DouBao_case_2,14,客户,我已经申请了，什么时候能处理好呢？,False,订单状态查询,DouBao,
DouBao_case_2,15,客服,一般情况下，我们会在1-2个工作日内处理您的售后申请，您可以在订单详情页面中查看处理进度。,False,订单状态查询,DouBao,
DouBao_case_2,16,客户,好的，谢谢。,False,订单状态查询,DouBao,
DouBao_case_2,17,客服,不客气，请问您还有其他问题吗？,False,订单状态查询,DouBao,
DouBao_case_2,18,客户,我还有一个订单，一直没有收到货。,True,订单状态查询,DouBao,订单问题
DouBao_case_2,19,客服,请您提供一下这个订单的订单号，我帮您查询一下。,False,订单状态查询,DouBao,
DouBao_case_2,20,客户,订单号是987654321。,False,订单状态查询,DouBao,
DouBao_case_2,21,客服,好的，我帮您查询到这个订单的物流信息显示已经签收了，您可以再确认一下是不是家人或者同事帮您代收了。,False,订单状态查询,DouBao,
DouBao_case_2,22,客户,我问过了，没有人代收。,True,订单状态查询,DouBao,订单问题
DouBao_case_2,23,客服,那可能是快递在投递过程中出现了问题，您可以联系快递公司进行查询和处理。,False,订单状态查询,DouBao,
DouBao_case_2,24,客户,我联系过了，快递公司说他们也不知道怎么回事。,True,订单状态查询,DouBao,订单问题
DouBao_case_2,25,客服,非常抱歉给您带来了这么多麻烦，您可以提供一下您的收货地址和联系方式，我会帮您反馈给相关部门进行处理。,False,订单状态查询,DouBao,
DouBao_case_2,26,客户,我的收货地址是XX省XX市XX区XX街道XX号，联系方式是138xxxxxxxx。,False,订单状态查询,DouBao,
DouBao_case_2,27,客服,好的，我已经帮您反馈给相关部门了，他们会尽快与您联系并处理这个问题。,False,订单状态查询,DouBao,
DouBao_case_2,28,客户,那我什么时候能收到货呢？,False,订单状态查询,DouBao,
DouBao_case_2,29,客服,由于这个问题需要快递公司和相关部门进行核实和处理，具体的到货时间我暂时无法确定，还请您耐心等待一下。,False,订单状态查询,DouBao,
DouBao_case_2,30,客户,好吧，希望能尽快解决。,False,订单状态查询,DouBao,
DouBao_case_2,31,客服,您放心，我们会督促相关部门尽快处理这个问题的。请问您还有其他问题吗？,False,订单状态查询,DouBao,
DouBao_case_2,32,客户,没有了，谢谢。,False,订单状态查询,DouBao,
DouBao_case_2,33,客服,不客气，感谢您对我们电商平台的支持和信任，如果以后还有什么问题，欢迎随时联系我们。,False,订单状态查询,DouBao,
DouBao_case_2,1,客服,您好，欢迎来到我们的电商平台客服中心，请问有什么可以帮您的？,False,订单状态查询,DouBao,
DouBao_case_2,2,客户,我想查询一下我的订单状态。,False,订单状态查询,DouBao,
DouBao_case_2,3,客服,好的，请您提供一下您的订单号，我帮您查询一下。,False,订单状态查询,DouBao,
DouBao_case_2,4,客户,我的订单号是123456789。,False,订单状态查询,DouBao,
DouBao_case_2,5,客服,好的，我已经查询到您的订单了。您的订单目前处于已发货状态，正在运输中。,False,订单状态查询,DouBao,
DouBao_case_2,6,客户,哦，那大概什么时候能到呢？,False,订单状态查询,DouBao,
DouBao_case_2,7,客服,根据物流信息显示，您的订单预计在明天下午到达您的收货地址。不过，由于物流运输可能会受到一些不可控因素的影响，具体到达时间还请您以实际情况为准。,False,订单状态查询,DouBao,
DouBao_case_2,8,客户,好的，谢谢。还有一个问题，我买的这个东西质量怎么样啊？,False,订单状态查询,DouBao,咨询
DouBao_case_2,9,客服,您购买的这款产品是我们平台的畅销款，质量是非常有保障的。我们的供应商都是经过严格筛选的，并且我们也会对产品进行质量检测，确保每一个产品都符合我们的质量标准。,False,订单状态查询,DouBao,
